average(VT("/Vdd")*IT("/V0/MINUS") ) X,average(VT("/Vdd")*IT("/V0/MINUS") ) Y
1.9e-06,0.001923646659372641
3.517e-05,0.00192542240041444
6.844e-05,0.001927193457345926
0.00010171,0.00192911527372126
0.00013498,0.001930928361589146
0.00016825,0.001932781744691065
0.00020152,0.001934559430307375
0.00023479,0.001936164851261135
0.00026806,0.001937892054534136
0.00030133,0.001939652665248723
0.0003346,0.001941404839792968
0.00036787,0.001943202776857473
0.00040114,0.001944943679061236
0.00043441,0.00194668244162193
0.00046768,0.001948454617719412
0.00050095,0.001950226273070224
0.00053422,0.001951986948587635
0.00056749,0.001953701154938604
0.00060076,0.001955479913494722
0.0006340300000000001,0.00195722981974231
0.0006673,0.001959006066632123
0.00070057,0.001960784194372539
0.00073384,0.001962596901387214
0.00076711,0.00196439225445916
0.0008003799999999999,0.001966134959139659
0.00083365,0.001967959710506722
0.00086692,0.001969650584473984
0.00090019,0.001971494459443903
0.00093346,0.001973281547504038
0.00096673,0.00197504762952017
0.001,0.001976842374600368
