average(VT("/Vdd")*IT("/V0/MINUS") ) X,average(VT("/Vdd")*IT("/V0/MINUS") ) Y
1.9e-06,0.001682032713583488
3.517e-05,0.001683606139920955
6.844e-05,0.001685184184018735
0.00010171,0.001686765633174201
0.00013498,0.001688344001867644
0.00016825,0.001689922234283326
0.00020152,0.001691505087994601
0.00023479,0.001693087669166987
0.00026806,0.001694672592205893
0.00030133,0.001696259313175026
0.0003346,0.001697845529191487
0.00036787,0.00169943144632084
0.00040114,0.001701014247123775
0.00043441,0.001702602886103758
0.00046768,0.001704192666870114
0.00050095,0.001705780341524281
0.00053422,0.001707362681427412
0.00056749,0.001708948507205991
0.00060076,0.00171053589801068
0.0006340300000000001,0.001712128147380408
0.0006673,0.001713723723766848
0.00070057,0.001715316576020336
0.00073384,0.001716910316094309
0.00076711,0.001718507769338273
0.0008003799999999999,0.001720102421795721
0.00083365,0.00172169948804
0.00086692,0.001723297731285343
0.00090019,0.001724897553263221
0.00093346,0.00172649585056621
0.00096673,0.001728097283854001
0.001,0.001729700937897188
